Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Beg_Bal,Amt_Incur,Amt_Paid,End_Bal,Expn_Code,Expn_Dscr,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Memo_Code,Memo_RefNo,BakRef_TID,XRef_SchNm,XRef_Match
1345259,OAKLAND EDUCATION ASSOCIATION POLITICAL ACTION COMMITTEE,000,RCP,07/31/2013,01/01/2013,06/30/2013,,,,DEBT,F,ZlgJdlgbPM47,OTH,OAKLAND EDUCATION ASSOCIATION,,,,,,OAKLND,CA,94606,100.00,0.00,100.00,0.00,OFC,Reembursement for opening bank account,,,,,,,,,,,,,,,
1332115,"Oakland Rising Committee, a project of Movement Strategy Center Action Fund",000,RCP,07/31/2013,01/01/2013,06/30/2013,11/06/2012,,,DEBT,F,F-114-V,OTH,Miller & Olson  LLP,,,,,,Burlingame,CA,94010,0.00,3185.53,0.00,3185.53,PRO,,,,,,,,,,,,,,,,
1332115,"Oakland Rising Committee, a project of Movement Strategy Center Action Fund",000,RCP,07/31/2013,01/01/2013,06/30/2013,11/06/2012,,,DEBT,F,F-15-V,OTH,Movement Strategy Action Fund,,,,,,Oakland,CA,94612,53837.38,0.00,0.00,53837.38,IND,Doorhanger,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,07/01/2013,07/29/2013,,,,DEBT,F,mAXTc3HUp3mt,OTH,Sutton Law Firm,,,,,,SF,CA,94108,-7202.75,0.00,0.00,-7202.75,PRO,Sutton Law Firm billing adjustment,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,07/01/2013,07/29/2013,,,,DEBT,F,r1PBjL1kUcsF,OTH,Sutton Law Firm,,,,,,SF,CA,94108,18202.75,0.00,0.00,18202.75,PRO,Legal services,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,07/01/2013,07/29/2013,,,,DEBT,F,KMhiPwpvxOCA,OTH,Sutton Law Firm,,,,,,SF,CA,94108,-6000.00,0.00,0.00,-6000.00,PRO,payment in kind to Sutton,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,07/01/2013,07/29/2013,,,,DEBT,F,UXDVlGGdjB22,OTH,Sutton Law Firm,,,,,,SF,CA,94108,-5000.00,0.00,0.00,-5000.00,PRO,in kind payment of Sutton,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,01/01/2013,06/30/2013,,,,DEBT,F,mAXTc3HUp3mt,OTH,Sutton Law Firm,,,,,,SF,CA,94108,0.00,-7202.75,0.00,-7202.75,PRO,Sutton Law Firm billing adjustment,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,01/01/2013,06/30/2013,,,,DEBT,F,KMhiPwpvxOCA,OTH,Sutton Law Firm,,,,,,SF,CA,94108,0.00,-6000.00,0.00,-6000.00,PRO,payment in kind to Sutton,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,01/01/2013,06/30/2013,,,,DEBT,F,UXDVlGGdjB22,OTH,Sutton Law Firm,,,,,,SF,CA,94108,0.00,-5000.00,0.00,-5000.00,PRO,in kind payment of Sutton,,,,,,,,,,,,,,,
1343281,Committee to Recall Mayor Quan Now,000,BMC,07/29/2013,01/01/2013,06/30/2013,,,,DEBT,F,r1PBjL1kUcsF,OTH,Sutton Law Firm,,,,,,SF,CA,94108,18202.75,0.00,0.00,18202.75,PRO,Legal services,,,,,,,,,,,,,,,
