Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,9,0.00,0.00,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,10,0.00,0.00,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,11,4418.83,4418.83,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,12,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,13,5130.49,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,14,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,15,4418.83,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,16,711.66,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,17,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,18,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,19,205.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,20,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,21,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,22A,1374.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,A,1,4225.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,A,2,700.49,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,A,3,4925.49,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,B1,1,205.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,B1,2,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,B1,3,205.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,C,1,0.00,,
